source_name,target_name,rating,time,str_time
Lisa Barton,Judy Phan,1,1293643258,2010-12-30 2:20
Judy Phan,Lisa Barton,1,1293646340,2010-12-30 3:12
Judy Phan,Edna Smith,1,1293661056,2010-12-30 7:17
Amanda Gunter,Trish Carrion,4,1293665841,2010-12-30 8:37
Don Hudson,Edgar Guyton,1,1293749574,2010-12-31 7:52
Edgar Guyton,Don Hudson,1,1293749669,2010-12-31 7:54
Ronald Mahon,Terry Vick,1,1293819840,2011-01-01 3:24
Terry Vick,Ronald Mahon,1,1293820340,2011-01-01 3:32
Edgar Guyton,Ronald Mahon,1,1293831461,2011-01-01 6:37
Ronald Mahon,Edgar Guyton,1,1293831480,2011-01-01 6:37
Taryn Garza,Ronald Hale,2,1293843254,2011-01-01 9:54
Judy Phan,Eric Burlew,1,1293888121,2011-01-01 22:22
Eric Burlew,Judy Phan,1,1293888137,2011-01-01 22:22
Kate Lee,Michael Berry,1,1293930358,2011-01-02 10:05
Judy Davis,John Gilchrist,1,1293994480,2011-01-03 3:54
John Gilchrist,Judy Davis,1,1293996991,2011-01-03 4:36
Terry Vick,Ronald Hale,1,1294081163,2011-01-04 3:59
Ronald Hale,Terry Vick,1,1294081178,2011-01-04 3:59
Don Hudson,Michael Berry,2,1294083688,2011-01-04 4:41
Michael Berry,Don Hudson,2,1294083726,2011-01-04 4:42
Eric Burlew,Angela Sullivan,3,1294126590,2011-01-04 16:36
Angela Sullivan,Eric Burlew,3,1294152393,2011-01-04 23:46
Kate Lee,Douglas Brighton,1,1294190543,2011-01-05 10:22
Juanita Vincent,William Pacheco,1,1294192094,2011-01-05 10:48
William Pacheco,Juanita Vincent,1,1294192615,2011-01-05 10:56
Eric Burlew,Frankie Hugo,1,1294244410,2011-01-06 1:20
Frankie Hugo,Eric Burlew,1,1294249081,2011-01-06 2:38
Terry Vick,Pat Adkison,1,1294262869,2011-01-06 6:27
Terry Vick,Ida Alligood,1,1294267265,2011-01-06 7:41
Pat Adkison,Terry Vick,1,1294267277,2011-01-06 7:41
Terry Vick,Loretta Byker,1,1294271218,2011-01-06 8:46
Loretta Byker,Terry Vick,1,1294274023,2011-01-06 9:33
Ida Alligood,Terry Vick,1,1294285069,2011-01-06 12:37
Ronald Hale,Jeannette Mcmillan,1,1294300030,2011-01-06 16:47
Jeannette Mcmillan,Ronald Hale,1,1294300186,2011-01-06 16:49
William Pacheco,Eric Burlew,2,1294395970,2011-01-07 19:26
Eric Burlew,William Pacheco,2,1294396076,2011-01-07 19:27
Terry Vick,Reginald Williams,1,1294426073,2011-01-08 3:47
Reginald Williams,Terry Vick,1,1294429630,2011-01-08 4:47
Ronald Mahon,Jeannette Mcmillan,1,1294429932,2011-01-08 4:52
Jeannette Mcmillan,Ronald Mahon,1,1294430000,2011-01-08 4:53
John Spellman,Reginald Williams,2,1294438542,2011-01-08 7:15
Reginald Williams,John Spellman,2,1294439194,2011-01-08 7:26
Kate Lee,Randy Dawson,1,1294546375,2011-01-09 13:12
Terry Vick,John Woodward,1,1294595719,2011-01-10 2:55
Randy Dawson,Kate Lee,1,1294599139,2011-01-10 3:52
John Woodward,Reginald Engelking,1,1294600322,2011-01-10 4:12
Reginald Engelking,John Woodward,3,1294600354,2011-01-10 4:12
John Woodward,Terry Vick,1,1294600355,2011-01-10 4:12
John Woodward,Judy Davis,1,1294600362,2011-01-10 4:12
John Mancilla,Juanita Vincent,3,1294689381,2011-01-11 4:56
Juanita Vincent,John Mancilla,1,1294689438,2011-01-11 4:57
John Woodward,Merle Mcintyre,1,1294788722,2011-01-12 8:32
Merle Mcintyre,John Woodward,3,1294854693,2011-01-13 2:51
Edwin Owens,Timothy Miera,2,1294919859,2011-01-13 20:57
Timothy Miera,Edwin Owens,2,1294927077,2011-01-13 22:57
Eric Burlew,Kathy Weaver,4,1294947597,2011-01-14 4:39
Kathy Weaver,Eric Burlew,1,1294953308,2011-01-14 6:15
Jeffrey Thompson,John Spellman,3,1294974058,2011-01-14 12:00
Don Hudson,William Pacheco,1,1294982042,2011-01-14 14:14
John Woodward,Edwin Owens,1,1294996844,2011-01-14 18:20
Edwin Owens,John Woodward,1,1295011594,2011-01-14 22:26
William Pacheco,Don Hudson,1,1295060559,2011-01-15 12:02
Don Hudson,Jennifer Dull,1,1295163874,2011-01-16 16:44
Frankie Hugo,Geraldine Saleh,2,1295213497,2011-01-17 6:31
Geraldine Saleh,Frankie Hugo,2,1295213514,2011-01-17 6:31
Jennifer Dull,Don Hudson,1,1295219865,2011-01-17 8:17
Nikki Conly,Jennifer Dull,1,1295223075,2011-01-17 9:11
Jennifer Dull,Robert Delisa,1,1295223955,2011-01-17 9:25
Douglas Brighton,Julie Goldberg,2,1295282631,2011-01-18 1:43
Nikki Conly,Ronald Mahon,2,1295394666,2011-01-19 8:51
John Mancilla,Ronald Hale,1,1295416559,2011-01-19 14:55
Ronald Hale,John Mancilla,1,1295416572,2011-01-19 14:56
Terry Vick,Chantal Reed,1,1295460036,2011-01-20 3:00
Yolanda Rivas,Ronald Hale,4,1295507765,2011-01-20 16:16
Merle Mcintyre,Virgil Purvis,1,1295538197,2011-01-21 0:43
Virgil Purvis,Merle Mcintyre,1,1295560693,2011-01-21 6:58
William Pacheco,Michael Mays,2,1295620829,2011-01-21 23:40
Michael Mays,William Pacheco,3,1295622239,2011-01-22 0:03
Ronald Mahon,Neil Cail,1,1295647516,2011-01-22 7:05
Neil Cail,Ronald Mahon,1,1295647537,2011-01-22 7:05
Timothy Miera,Michael Berry,1,1295720115,2011-01-23 3:15
Michael Berry,Timothy Miera,1,1295720325,2011-01-23 3:18
Merle Mcintyre,Michael Mays,2,1295806594,2011-01-24 3:16
John Spellman,Jack Bork,1,1295847190,2011-01-24 14:33
Jack Bork,John Spellman,1,1295847198,2011-01-24 14:33
Terry Vick,Sheri Rountree,1,1295990233,2011-01-26 6:17
Terry Vick,Michael Berry,1,1295995415,2011-01-26 7:43
Michael Berry,Terry Vick,1,1295995480,2011-01-26 7:44
Michael Mays,Merle Mcintyre,2,1296071386,2011-01-27 4:49
Judy Phan,John Spellman,5,1296076062,2011-01-27 6:07
John Spellman,Marjorie Haughney,1,1296085723,2011-01-27 8:48
Marjorie Haughney,John Spellman,1,1296085848,2011-01-27 8:50
Kate Lee,Jefferson Kowalik,2,1296096742,2011-01-27 11:52
Jefferson Kowalik,Kate Lee,2,1296096769,2011-01-27 11:52
Jefferson Kowalik,Trish Carrion,1,1296163311,2011-01-28 6:21
Jefferson Kowalik,Robert Campos,2,1296163345,2011-01-28 6:22
Jefferson Kowalik,Ronald Mahon,4,1296163403,2011-01-28 6:23
Ronald Mahon,Jefferson Kowalik,4,1296164245,2011-01-28 6:37
Jack Bork,John Mancilla,1,1296229412,2011-01-29 0:43
John Mancilla,Jack Bork,1,1296229421,2011-01-29 0:43
Walter Hatch,Joseph Mcconnell,2,1296291457,2011-01-29 17:57
Joseph Mcconnell,John Mancilla,1,1296291483,2011-01-29 17:58
Walter Hatch,Lisa Barton,1,1296291724,2011-01-29 18:02
John Mancilla,Joseph Mcconnell,1,1296291879,2011-01-29 18:04
John Simmons,John Spellman,1,1296512060,2011-02-01 7:14
Don Hudson,Naomi Caldwell,1,1296512103,2011-02-01 7:15
Naomi Caldwell,Don Hudson,10,1296513384,2011-02-01 7:36
Nikki Conly,Don Hudson,3,1296513427,2011-02-01 7:37
Nikki Conly,John Spellman,4,1296528583,2011-02-01 11:49
John Spellman,Nikki Conly,2,1296528669,2011-02-01 11:51
John Spellman,John Simmons,1,1296528718,2011-02-01 11:51
John Spellman,Craig Baker,1,1296553673,2011-02-01 18:47
Craig Baker,John Spellman,1,1296553682,2011-02-01 18:48
Judy Phan,Neil Cail,1,1296579083,2011-02-02 1:51
Neil Cail,Judy Phan,1,1296579093,2011-02-02 1:51
Neil Cail,Ida Alligood,1,1296580101,2011-02-02 2:08
Ida Alligood,Neil Cail,1,1296580128,2011-02-02 2:08
Ronald Mahon,Jaime Hardy,2,1296595303,2011-02-02 6:21
Robert Campos,Trish Carrion,3,1296601381,2011-02-02 8:03
Naomi Caldwell,Brooks Cardillo,10,1296608631,2011-02-02 10:03
Naomi Caldwell,Julie Goldberg,1,1296609273,2011-02-02 10:14
Don Hudson,Paul Blaylock,8,1296629344,2011-02-02 15:49
Don Hudson,Misty Gardner,2,1296631215,2011-02-02 16:20
Misty Gardner,Don Hudson,2,1296631324,2011-02-02 16:22
Don Hudson,Judy Phan,6,1296657671,2011-02-02 23:41
Geraldine Saleh,Olga Booth,1,1296682613,2011-02-03 6:36
Ernestina Byer,John Spellman,2,1296688733,2011-02-03 8:18
John Spellman,Ernestina Byer,2,1296688773,2011-02-03 8:19
Geraldine Saleh,Ryan Beltrami,2,1296690714,2011-02-03 8:51
Ryan Beltrami,Geraldine Saleh,2,1296690765,2011-02-03 8:52
Trish Carrion,John Mancilla,3,1296754197,2011-02-04 2:29
Trish Carrion,Edwin Owens,1,1296754336,2011-02-04 2:32
Trish Carrion,Walter Hatch,3,1296754391,2011-02-04 2:33
Trish Carrion,Don Hudson,3,1296754396,2011-02-04 2:33
Trish Carrion,Judy Phan,1,1296754414,2011-02-04 2:33
Trish Carrion,Angela Sullivan,3,1296754436,2011-02-04 2:33
Trish Carrion,Robert Campos,3,1296754444,2011-02-04 2:34
Trish Carrion,Jefferson Kowalik,1,1296754512,2011-02-04 2:35
Trish Carrion,Clarice Moskowitz,1,1296754599,2011-02-04 2:36
Trish Carrion,Amanda Gunter,3,1296754645,2011-02-04 2:37
Olga Booth,Geraldine Saleh,1,1296758780,2011-02-04 3:46
Geraldine Saleh,Paul Blaylock,2,1296769471,2011-02-04 6:44
Paul Blaylock,Geraldine Saleh,2,1296769494,2011-02-04 6:44
Brooks Cardillo,Naomi Caldwell,10,1296772979,2011-02-04 7:42
Brooks Cardillo,Joe Herrera,1,1296773130,2011-02-04 7:45
Joe Herrera,Brooks Cardillo,2,1296774360,2011-02-04 8:06
John Spellman,Linda Alvarez,1,1296792124,2011-02-04 13:02
Linda Alvarez,John Spellman,1,1296792360,2011-02-04 13:05
Chantal Reed,Terry Vick,1,1296837863,2011-02-05 1:44
Terry Vick,Kate Lee,1,1296868253,2011-02-05 10:10
Kate Lee,Terry Vick,1,1296868317,2011-02-05 10:11
Taryn Garza,Sheri Rountree,1,1296870068,2011-02-05 10:41
James Kain,Diana Aranda,2,1296884305,2011-02-05 14:38
Diana Aranda,James Kain,2,1296884645,2011-02-05 14:44
Geraldine Saleh,John Spellman,6,1296913225,2011-02-05 22:40
John Spellman,Geraldine Saleh,5,1296913558,2011-02-05 22:45
James Kain,Judy Phan,2,1296927382,2011-02-06 2:36
James Kain,Bennie Winski,2,1296927424,2011-02-06 2:37
Bennie Winski,James Kain,2,1296927624,2011-02-06 2:40
Edgar Guyton,Susan Wyse,2,1297093748,2011-02-08 0:49
Susan Wyse,Edgar Guyton,2,1297093804,2011-02-08 0:50
Paul Blaylock,Joe Herrera,2,1297102509,2011-02-08 3:15
Joe Herrera,Paul Blaylock,2,1297102585,2011-02-08 3:16
Merle Mcintyre,Edwin Owens,4,1297187359,2011-02-09 2:49
Sheri Rountree,Taryn Garza,1,1297197836,2011-02-09 5:43
Sheri Rountree,Terry Vick,1,1297197844,2011-02-09 5:44
Joe Herrera,Angela Sullivan,1,1297206555,2011-02-09 8:09
Angela Sullivan,Joe Herrera,1,1297207241,2011-02-09 8:20
Marjorie Haughney,Don Hudson,1,1297291838,2011-02-10 7:50
Joe Herrera,Corey Pelchat,1,1297301158,2011-02-10 10:25
Corey Pelchat,Joe Herrera,1,1297301164,2011-02-10 10:26
Joe Herrera,Nikki Conly,1,1297308205,2011-02-10 12:23
Nikki Conly,Joe Herrera,1,1297308356,2011-02-10 12:25
Terry Vick,Ruth Rivers,1,1297315440,2011-02-10 14:24
Edwin Owens,Merle Mcintyre,3,1297359911,2011-02-11 2:45
Ruth Rivers,Terry Vick,1,1297367601,2011-02-11 4:53
John Spellman,Ruth Rivers,1,1297370442,2011-02-11 5:40
Ruth Rivers,John Spellman,1,1297371118,2011-02-11 5:51
Don Hudson,Walter Morrow,1,1297373817,2011-02-11 6:36
Walter Morrow,Don Hudson,1,1297374205,2011-02-11 6:43
Joe Herrera,Walter Morrow,1,1297378806,2011-02-11 8:00
Walter Morrow,Joe Herrera,1,1297378871,2011-02-11 8:01
Nikki Conly,Marjorie Haughney,1,1297385761,2011-02-11 9:56
Marjorie Haughney,Nikki Conly,1,1297385923,2011-02-11 9:58
Nikki Conly,Kate Lee,1,1297386367,2011-02-11 10:06
Kate Lee,Nikki Conly,1,1297386418,2011-02-11 10:06
Terry Vick,David Camire,1,1297461521,2011-02-12 6:58
David Camire,Terry Vick,1,1297462874,2011-02-12 7:21
John Spellman,Ronald Mahon,5,1297467512,2011-02-12 8:38
Ronald Mahon,Nikki Conly,2,1297479765,2011-02-12 12:02
John Spellman,Mildred Hill,2,1297482206,2011-02-12 12:43
Mildred Hill,Corey Pelchat,5,1297489410,2011-02-12 14:43
Corey Pelchat,Mildred Hill,5,1297494046,2011-02-12 16:00
Mildred Hill,John Spellman,3,1297494087,2011-02-12 16:01
Joe Herrera,Gladys Davis,5,1297533099,2011-02-13 2:51
Shirley Dennis,Joe Herrera,1,1297533751,2011-02-13 3:02
Joe Herrera,Shirley Dennis,1,1297534218,2011-02-13 3:10
Edgar Guyton,Joe Herrera,3,1297550943,2011-02-13 7:49
Paul Blaylock,Joshua Hume,8,1297570107,2011-02-13 13:08
Joe Herrera,Rhonda Mitchell,1,1297621910,2011-02-14 3:31
Rhonda Mitchell,Joe Herrera,1,1297626301,2011-02-14 4:45
Sheri Rountree,Rhonda Mitchell,1,1297626585,2011-02-14 4:49
Don Hudson,Sheri Rountree,1,1297627293,2011-02-14 5:01
Sheri Rountree,Don Hudson,1,1297627349,2011-02-14 5:02
Rhonda Mitchell,Sheri Rountree,1,1297628388,2011-02-14 5:19
Sheri Rountree,Misty Gardner,2,1297644401,2011-02-14 9:46
Paul Blaylock,Rhonda Mitchell,1,1297647974,2011-02-14 10:46
Rhonda Mitchell,Paul Blaylock,1,1297647980,2011-02-14 10:46
Sheri Rountree,Christina Crilly,1,1297652994,2011-02-14 12:09
Christina Crilly,Sheri Rountree,1,1297653023,2011-02-14 12:10
Jeannine Gay,Joe Herrera,1,1297686545,2011-02-14 21:29
Sheri Rountree,Corey Pelchat,1,1297722488,2011-02-15 7:28
Corey Pelchat,Sheri Rountree,1,1297723091,2011-02-15 7:38
Joe Herrera,John Knowles,1,1297734450,2011-02-15 10:47
John Knowles,Joe Herrera,1,1297734460,2011-02-15 10:47
Don Hudson,Eddie Krick,1,1297789864,2011-02-16 2:11
Eddie Krick,Don Hudson,1,1297789936,2011-02-16 2:12
Lester Cisneros,Paul Blaylock,1,1297807903,2011-02-16 7:11
Ronald Mahon,John Hogg,1,1297809192,2011-02-16 7:33
Terry Vick,Jon Mclaughlin,1,1297812539,2011-02-16 8:28
Jon Mclaughlin,Terry Vick,1,1297812615,2011-02-16 8:30
Judy Phan,James Kain,4,1297815737,2011-02-16 9:22
Gladys Davis,Joe Herrera,2,1297824885,2011-02-16 11:54
Patricia Hudson,William Pacheco,2,1297844415,2011-02-16 17:20
Edgar Guyton,Michael Bach,1,1297866186,2011-02-16 23:23
Michael Bach,Fred Lemay,1,1297866223,2011-02-16 23:23
Fred Lemay,Michael Bach,1,1297866274,2011-02-16 23:24
Joe Herrera,Jeannine Gay,1,1297872866,2011-02-17 1:14
Paul Blaylock,Sheri Rountree,1,1297878331,2011-02-17 2:45
Sheri Rountree,Paul Blaylock,1,1297878339,2011-02-17 2:45
Sheri Rountree,John Knowles,1,1297878361,2011-02-17 2:46
John Knowles,Sheri Rountree,1,1297878526,2011-02-17 2:48
Terry Vick,John Hogg,1,1297882011,2011-02-17 3:46
John Hogg,Terry Vick,1,1297882595,2011-02-17 3:56
Joe Herrera,Benjamin Hodson,1,1297886091,2011-02-17 4:54
Ida Alligood,Nancy Winbush,2,1297893560,2011-02-17 6:59
William Pacheco,Patricia Hudson,3,1297907214,2011-02-17 10:46
Benjamin Hodson,Nancy Schultz,1,1297908772,2011-02-17 11:12
Nancy Schultz,Benjamin Hodson,2,1297908772,2011-02-17 11:12
Benjamin Hodson,Jeannine Gay,1,1297908985,2011-02-17 11:16
Sheri Rountree,Sarah Pursell,1,1297910665,2011-02-17 11:44
Joe Herrera,Charles Fisher,4,1297911998,2011-02-17 12:06
Charles Fisher,Joe Herrera,4,1297912087,2011-02-17 12:08
Joe Herrera,James Kain,3,1297915803,2011-02-17 13:10
James Kain,Joe Herrera,3,1297915880,2011-02-17 13:11
Sarah Pursell,Sheri Rountree,1,1297915937,2011-02-17 13:12
Terry Vick,James Cox,1,1297959915,2011-02-18 1:25
James Cox,Terry Vick,1,1297961344,2011-02-18 1:49
Michael Bach,Joe Herrera,1,1297976227,2011-02-18 5:57
Joe Herrera,Michael Bach,1,1297976242,2011-02-18 5:57
James Kain,Debra Seiler,1,1297976422,2011-02-18 6:00
Debra Seiler,James Kain,2,1297976428,2011-02-18 6:00
Jaime Hardy,John Spellman,3,1297980365,2011-02-18 7:06
John Spellman,Jaime Hardy,3,1297980494,2011-02-18 7:08
Terry Vick,Joe Herrera,1,1298044125,2011-02-19 0:48
Nancy Winbush,Ida Alligood,2,1298047000,2011-02-19 1:36
Joe Herrera,Terry Vick,1,1298054259,2011-02-19 3:37
Joseph Mcconnell,Don Hudson,2,1298056076,2011-02-19 4:07
Don Hudson,Joseph Mcconnell,2,1298061894,2011-02-19 5:44
Don Hudson,Marjorie Haughney,2,1298062294,2011-02-19 5:51
Ronald Mahon,Mark Nolan,1,1298072060,2011-02-19 8:34
Mark Nolan,Ronald Mahon,1,1298072082,2011-02-19 8:34
Joseph Mcconnell,Michael Bach,1,1298128068,2011-02-20 0:07
Michael Bach,Joseph Mcconnell,1,1298130582,2011-02-20 0:49
Joseph Mcconnell,Lester Cisneros,1,1298146050,2011-02-20 5:07
Edgar Guyton,Lester Cisneros,1,1298146920,2011-02-20 5:22
Lester Cisneros,Edgar Guyton,1,1298147262,2011-02-20 5:27
Craig Baker,Edgar Guyton,1,1298147284,2011-02-20 5:28
Joe Herrera,Edgar Guyton,3,1298147302,2011-02-20 5:28
Lester Cisneros,Joseph Mcconnell,1,1298147390,2011-02-20 5:29
Joseph Mcconnell,Gladys Davis,1,1298169867,2011-02-20 11:44
John Spellman,Melody Tomlin,3,1298169939,2011-02-20 11:45
Melody Tomlin,John Spellman,3,1298169950,2011-02-20 11:45
Gladys Davis,Joseph Mcconnell,1,1298176197,2011-02-20 13:29
Joe Herrera,Ida Alligood,1,1298252030,2011-02-21 10:33
Ida Alligood,Joe Herrera,1,1298252037,2011-02-21 10:33
Joe Herrera,James Cox,2,1298265265,2011-02-21 14:14
James Cox,Joe Herrera,2,1298265838,2011-02-21 14:23
